시도명,검색건수,전년도 검색건수
서울특별시,76632447,59497381
부산광역시,24919980,18595551
대구광역시,13637636,9711560
인천광역시,30210191,22227083
광주광역시,7208795,5223721
대전광역시,9953080,6530115
울산광역시,6665620,5137945
세종특별자치시,3291127,2455032
경기도,164735536,125930625
강원도,48248002,40225081
충청북도,15577199,11758149
충청남도,25053483,19144715
전라북도,14751808,11281658
전라남도,17521420,14348329
경상북도,23748525,18808015
경상남도,27643206,22068720
제주특별자치도,20157548,20990171
