지역명,2022관광지출액,2021관광지출액,2022검색건수,2021검색건수,2022방문자수,2021방문자수,폐업추세,,,영업상태구분코드,,,폐업일자,,지역명1,,,,
,,,,,,,,66,,3,,,2015,,경상북도 울릉군 울릉읍 사동리 383-18번지,,,,
,,,,,,,,67,,3,,,2017,,경상북도 의성군 다인면 달제리 326-1번지,,,,
,,,,,,,,68,,3,,,2016,,경상북도 청송군 부동면 하의리 220-1번지,,,,
,,,,,,,,69,,3,,,2015,,인천광역시 옹진군 덕적면 서포리 310-3번지,,,,
,,,,,,,,70,,3,,,2020,,충청남도 보령시 신흑동 946-4번지,,,,
,,,,,,,,71,,3,,,2018,,충청남도 보령시 신흑동 2213-13번지,,,,
,,,,,,,,72,,3,,,2019,,충청남도 보령시 신흑동 2260-6번지,,,,
,,,,,,,,73,,3,,,2020,,충청남도 보령시 신흑동 2260-1번지,,,,
,,,,,,,,74,,3,,,2022,,충청남도 보령시 신흑동 2219-4,,,,
,,,,,,,,75,,3,,,2020,,충청남도 보령시 신흑동 2220-1,,,,
,,,,,,,,76,,3,,,2018,,충청남도 보령시 신흑동 2213-7번지,,,,
,,,,,,,,77,,3,,,2014,,충청남도 보령시 신흑동 2219-3번지,,,,
,,,,,,,,78,,3,,,2017,,충청남도 보령시 신흑동 2219-7번지,,,,
,,,,,,,,79,,3,,,2014,,충청남도 논산시 벌곡면 수락리 287-2번지,,,,
,,,,,,,,80,,3,,,2020,,충청남도 논산시 벌곡면 도산리 90번지,,,,
,,,,,,,,81,,3,,,2019,,충청남도 보령시 신흑동 2303-2번지,,,,
,,,,,,,,82,,3,,,2022,,충청남도 보령시 신흑동 2302-7,,,,
,,,,,,,,83,,3,,,2020,,충청남도 보령시 신흑동 2302-12번지,,,,
,,,,,,,,84,,3,,,2017,,경기도 여주시 금사면 이포리 13-3번지,,,,
,,,,,,,,85,,3,,,2021,,충청남도 청양군 대치면 광대리 268-7,,,,
,,,,,,,,86,,3,,,2017,,부산광역시 기장군 장안읍 장안리 106-1번지,,,,
,,,,,,,,87,,3,,,2013,,전라북도 고창군 고창읍 월암리 373-1번지,,,,
,,,,,,,,88,,3,,,2022,,전라북도 정읍시 신정동 1590 내장산리조트관광단지팬션,,,,
,,,,,,,,89,,3,,,2009,,전라북도 부안군 진서면 진서리 31-83번지,,,,
,,,,,,,,90,,3,,,2018,,전라북도 무주군 설천면 심곡리 567-1번지,,,,
,,,,,,,,91,,3,,,2014,,전라북도 부안군 변산면 도청리 535-1번지,,,,
,,,,,,,,92,,3,,,2019,,전라북도 무주군 설천면 심곡리 463-2번지,,,,
,,,,,,,,93,,3,,,2014,,전라북도 무주군 설천면 삼공리 318-1번지,,,,
,,,,,,,,94,,3,,,2014,,전라북도 무주군 설천면 삼공리 742-4번지,,,,
,,,,,,,,95,,3,,,2018,,전라북도 무주군 무풍면 삼거리 46-39번지,,,,
,,,,,,,,96,,3,,,2012,,전라북도 무주군 설천면 심곡리 567-1번지,,,,
