iter	RMSE
0	1.113084119
1	1.07697042
2	1.042132461
3	1.010847089
4	0.982400162
5	0.9552905174
6	0.9307541428
7	0.9074811462
8	0.8875047543
9	0.8659405631
10	0.8466985057
11	0.8287224207
12	0.8125505992
13	0.7980483384
14	0.7844469193
15	0.7711505332
16	0.7589567377
17	0.7475208279
18	0.7375739485
19	0.7283115327
20	0.7195007262
21	0.7113972994
22	0.7041514445
23	0.6947441599
24	0.6873859977
25	0.6789767616
26	0.6715097127
27	0.6653602034
28	0.6598971256
29	0.6522175951
30	0.6479840307
31	0.6439652071
32	0.6400459398
33	0.636403463
34	0.6305466837
35	0.6271914572
36	0.6237909964
37	0.6205722086
38	0.6154391028
39	0.6133070198
40	0.6108153638
41	0.6080578394
42	0.6044201537
43	0.6009812127
44	0.5987950717
45	0.5969286983
46	0.5931169195
47	0.5905544641
48	0.5862713261
49	0.5828233361
50	0.5808400823
51	0.5777655693
52	0.5755967889
53	0.5743914438
54	0.5717288101
55	0.5700665827
56	0.5677771218
57	0.566297757
58	0.5651726103
59	0.5636894701
60	0.5620719591
61	0.5607488689
62	0.5593703541
63	0.5572945129
64	0.555829003
65	0.5550362756
66	0.5536190021
67	0.5524574425
68	0.5509086667
69	0.5494357904
70	0.5488728684
71	0.5475409275
72	0.5465783932
73	0.5455580775
74	0.5443277721
75	0.5437199316
76	0.543021587
77	0.5418010566
78	0.5404628699
79	0.5395656138
80	0.5389281618
81	0.5380017999
82	0.537006251
83	0.5363008788
84	0.5351912098
85	0.5345247543
86	0.5339498251
87	0.5333027543
88	0.5327413244
89	0.5322940721
90	0.5317301673
91	0.530736142
92	0.5299833986
93	0.528853945
94	0.5283135993
95	0.5272590857
96	0.5261098286
97	0.5254011524
98	0.5246378611
99	0.5236139596
100	0.5223032347
101	0.5215826401
102	0.5208230409
103	0.5201974195
104	0.5196953317
105	0.5193059396
106	0.5187714353
107	0.5180237722
108	0.5174715228
109	0.5167252536
110	0.5161852725
111	0.5156480388
112	0.515050897
113	0.5145471061
114	0.5137068176
115	0.5129916781
116	0.5126619155
117	0.5119091882
118	0.511321391
119	0.5108653613
120	0.510170359
121	0.5096226385
122	0.5089980644
123	0.5082694041
124	0.5079183668
125	0.5074919766
126	0.5068190591
127	0.5063299614
128	0.5057473443
129	0.5053211878
130	0.5048091482
131	0.5043679293
132	0.5038274186
