시도명,방문자수,전년도 방문자수
서울특별시,574138421 ,493650524 
부산광역시,141850354 ,126828840 
대구광역시,101341517 ,88575125 
인천광역시,162791200 ,137962498 
광주광역시,65003241 ,57110556 
대전광역시,77445462 ,69948254 
울산광역시,47583356 ,43702315 
세종특별자치시,27167587 ,25755465 
경기도,614719516 ,557003044 
강원도,155688787 ,135732749 
충청북도,109409660 ,98004355 
충청남도,160518006 ,145079713 
전라북도,96078088 ,84962410 
전라남도,128349337 ,116892683 
경상북도,180584844 ,164344571 
경상남도,152146144 ,142703820 
제주특별자치도,67612046 ,63694287 
